id;user_name;wallets;galleries;password;type
1;"Tvx1";Vermont Field reboot;Administrator Usability;Loan Marketing;ARTIST
2;"Zjsx6";Sharable Reverse-engineered;Polynesia invoice;Texas executive clear-thinking;CURATOR
3;"Dm7";Marketing;blockchains;program Dynamic;CURATOR
4;"Uzfd2";Ecuador;synthesize;Legacy granular;CURATOR
5;"Kawis3";Chair transitional;Intranet plug-and-play;salmon Dram Trinidad;CURATOR
6;"Damqf7";e-tailers Cambridgeshire JSON;Fully-configurable Forest;Nebraska Niger ivory;ADMIN
7;"Pggkqp1";infrastructure Chair Chair;open;Colorado quantifying;ARTIST
8;"Wxuvz2";Cuban;Borders payment;Virtual Taka Avon;GALLERYOWNER
9;"Uv5";XML;Infrastructure Nebraska;Practical Object-based;ARTIST
10;"Mubzt4";Nevis;Chicken;New up Loan;ARTIST
11;"theExtraOrdinar";11;chicken;roaster;ADMIN
